rank	experiment	compression	int_encoding	date_encoding	timestamp_encoding	string_encoding	physical_bytes	baseline_encoded_bytes	encoded_bytes	compressed_bytes	post_encoding_ratio	post_compression_ratio	codec_ratio	elapsed_ms	result_file	column_stats_tsv	output_dir
19	rows-1000000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-rle-dict	none	plain	rle-dict	rle-dict	delta-byte-array	712398624	825621935	513215418	513215418	1.608724		1.000000	11020	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-rle-dict
20	rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-rle-dict-ts-rle-dict	none	plain	rle-dict	rle-dict	delta-length-byte-array	712398624	825621935	715787295	715787295	1.153446		1.000000	10651	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-rle-dict-ts-rle-dict
21	rows-1000000-comp-none-int-plain-str-plain-date-rle-dict-ts-delta-binary-packed	none	plain	rle-dict	delta-binary-packed	plain	712398624	825621935	808471194	808471194	1.021214		1.000000	10510	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-rle-dict-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-rle-dict-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-plain-date-rle-dict-ts-delta-binary-packed
22	rows-1000000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-delta-binary-packed	none	plain	rle-dict	delta-binary-packed	rle-dict	712398624	825621935	458903019	458903019	1.799121		1.000000	10502	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-delta-binary-packed
23	rows-1000000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-delta-binary-packed	none	plain	rle-dict	delta-binary-packed	delta-byte-array	712398624	825621935	501535974	501535974	1.646187		1.000000	10789	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-delta-binary-packed
24	rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-rle-dict-ts-delta-binary-packed	none	plain	rle-dict	delta-binary-packed	delta-length-byte-array	712398624	825621935	704076623	704076623	1.172631		1.000000	10385	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-rle-dict-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-rle-dict-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-rle-dict-ts-delta-binary-packed
25	rows-1000000-comp-none-int-plain-str-plain-date-delta-binary-packed-ts-plain	none	plain	delta-binary-packed	plain	plain	712398624	825621935	822236766	822236766	1.004117		1.000000	10263	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-delta-binary-packed-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-delta-binary-packed-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-plain-date-delta-binary-packed-ts-plain
26	rows-1000000-comp-none-int-plain-str-rle-dict-date-delta-binary-packed-ts-plain	none	plain	delta-binary-packed	plain	rle-dict	712398624	825621935	472754917	472754917	1.746406		1.000000	10280	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-delta-binary-packed-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-delta-binary-packed-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-rle-dict-date-delta-binary-packed-ts-plain
27	rows-1000000-comp-none-int-plain-str-delta-byte-array-date-delta-binary-packed-ts-plain	none	plain	delta-binary-packed	plain	delta-byte-array	712398624	825621935	515327751	515327751	1.602130		1.000000	10669	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-byte-array-date-delta-binary-packed-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-byte-array-date-delta-binary-packed-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-delta-byte-array-date-delta-binary-packed-ts-plain
28	rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-delta-binary-packed-ts-plain	none	plain	delta-binary-packed	plain	delta-length-byte-array	712398624	825621935	717879192	717879192	1.150085		1.000000	10265	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-delta-binary-packed-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-delta-binary-packed-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-delta-binary-packed-ts-plain
29	rows-1000000-comp-none-int-plain-str-plain-date-delta-binary-packed-ts-rle-dict	none	plain	delta-binary-packed	rle-dict	plain	712398624	825621935	820233869	820233869	1.006569		1.000000	10680	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-delta-binary-packed-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-delta-binary-packed-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-plain-date-delta-binary-packed-ts-rle-dict
30	rows-1000000-comp-none-int-plain-str-rle-dict-date-delta-binary-packed-ts-rle-dict	none	plain	delta-binary-packed	rle-dict	rle-dict	712398624	825621935	470705382	470705382	1.754010		1.000000	10845	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-delta-binary-packed-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-delta-binary-packed-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-rle-dict-date-delta-binary-packed-ts-rle-dict
31	rows-1000000-comp-none-int-plain-str-delta-byte-array-date-delta-binary-packed-ts-rle-dict	none	plain	delta-binary-packed	rle-dict	delta-byte-array	712398624	825621935	513276195	513276195	1.608533		1.000000	11010	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-byte-array-date-delta-binary-packed-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-byte-array-date-delta-binary-packed-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-delta-byte-array-date-delta-binary-packed-ts-rle-dict
32	rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-delta-binary-packed-ts-rle-dict	none	plain	delta-binary-packed	rle-dict	delta-length-byte-array	712398624	825621935	715838757	715838757	1.153363		1.000000	10670	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-delta-binary-packed-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-delta-binary-packed-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-delta-length-byte-array-date-delta-binary-packed-ts-rle-dict
33	rows-1000000-comp-none-int-plain-str-plain-date-delta-binary-packed-ts-delta-binary-packed	none	plain	delta-binary-packed	delta-binary-packed	plain	712398624	825621935	808531533	808531533	1.021138		1.000000	10480	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-delta-binary-packed-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-delta-binary-packed-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-plain-date-delta-binary-packed-ts-delta-binary-packed
34	rows-1000000-comp-none-int-plain-str-rle-dict-date-delta-binary-packed-ts-delta-binary-packed	none	plain	delta-binary-packed	delta-binary-packed	rle-dict	712398624	825621935	458949661	458949661	1.798938		1.000000	10533	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-delta-binary-packed-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-delta-binary-packed-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-plain-str-rle-dict-date-delta-binary-packed-ts-delta-binary-packed
